Framework | Strategy  | Status    | Cost      | Depth     | Nodes(exp)| Nodes(gen)| Runtime   | start     | goal      | Problem             | Solution            
graph     | a-star    | Success   | 27.560000 | 21        | 103       | 176       | 0.003     | (147, 96) | (163, 117)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 28.820000 | 28        | 71        | 137       | 0.0021    | (70, 135) | (68, 107) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 30.690000 | 27        | 154       | 210       | 0.0041    | (101, 245)| (95, 219) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 28.510000 | 24        | 157       | 231       | 0.0046    | (138, 265)| (114, 254)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 29.820000 | 29        | 41        | 102       | 0.0012    | (73, 123) | (102, 123)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 31.230000 | 30        | 104       | 174       | 0.0031    | (38, 135) | (35, 105) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 30.690000 | 27        | 173       | 238       | 0.0046    | (100, 177)| (81, 182) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 29.870000 | 27        | 173       | 247       | 0.0049    | (102, 192)| (75, 199) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 27.970000 | 21        | 91        | 171       | 0.0028    | (105, 141)| (126, 158)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 29.100000 | 25        | 179       | 253       | 0.005     | (100, 226)| (110, 201)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 28.280000 | 25        | 165       | 241       | 0.0047    | (129, 191)| (104, 199)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 33.410000 | 33        | 34        | 106       | 0.0011    | (103, 103)| (102, 136)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 35.640000 | 34        | 97        | 149       | 0.0025    | (179, 276)| (175, 242)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 32.150000 | 26        | 203       | 293       | 0.006     | (114, 151)| (88, 136) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 33.510000 | 29        | 241       | 329       | 0.0071    | (115, 85) | (104, 56) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 35.840000 | 26        | 69        | 173       | 0.0022    | (60, 171) | (36, 145) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 35.150000 | 29        | 259       | 357       | 0.0081    | (116, 192)| (87, 207) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 33.740000 | 28        | 217       | 301       | 0.0064    | (102, 184)| (130, 198)| ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 33.200000 | 25        | 131       | 223       | 0.0041    | (82, 197) | (62, 172) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 33.510000 | 29        | 151       | 221       | 0.0042    | (82, 99)  | (56, 113) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 34.840000 | 25        | 26        | 128       | 0.0009    | (70, 277) | (45, 253) | ./example/gridmap/arena2.map| Hidden              
graph     | a-star    | Success   | 37.280000 | 34        | 260       | 353       | 0.0076    | (53, 146) | (61, 112) | ./example/gridmap/arena2.map| Hidden              
