"Framework","Strategy","Status","Cost","Depth","Nodes(exp)","Nodes(gen)","Re-Exp","1st Sol T","Runtime","start","goal","Problem","Solution"
"graph","a-star","Optimal","24.870000","22","278","154","123","0.0013","0.0117","(94, 70)","(87, 92)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","27.410000","27","90","88","1","0.0009","0.0025","(121, 96)","(122, 69)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","27.330000","22","249","168","80","0.0008","0.0073","(104, 62)","(126, 75)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","26.050000","24","200","114","85","0.001","0.0053","(82, 262)","(79, 238)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","27.280000","24","331","169","161","0.0008","0.0094","(88, 202)","(96, 178)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","27.560000","21","156","126","29","0.0008","0.0045","(147, 96)","(163, 117)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","28.820000","28","119","108","10","0.001","0.0033","(70, 135)","(68, 107)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","30.690000","27","934","167","766","0.0011","0.0266","(101, 245)","(95, 219)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","28.510000","24","301","180","120","0.0009","0.009","(138, 265)","(114, 254)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","29.820000","29","92","90","1","0.001","0.0025","(73, 123)","(102, 123)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","31.230000","30","161","138","22","0.0011","0.0044","(38, 135)","(35, 105)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","30.690000","27","210","191","18","0.0021","0.0063","(100, 177)","(81, 182)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","29.870000","27","365","197","167","0.001","0.0103","(102, 192)","(75, 199)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","27.970000","21","144","117","26","0.0008","0.0041","(105, 141)","(126, 158)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","29.100000","25","382","202","179","0.0009","0.011","(100, 226)","(110, 201)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","28.280000","25","376","191","184","0.0009","0.011","(129, 191)","(104, 199)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.410000","33","108","106","1","0.0013","0.0031","(103, 103)","(102, 136)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","35.640000","34","227","117","109","0.001","0.006","(179, 276)","(175, 242)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","32.150000","26","362","225","136","0.001","0.0106","(114, 151)","(88, 136)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.510000","29","520","267","252","0.0012","0.0153","(115, 85)","(104, 56)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","35.840000","26","137","131","5","0.001","0.0037","(60, 171)","(36, 145)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","35.150000","29","508","280","227","0.0012","0.015","(116, 192)","(87, 207)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.740000","28","432","237","194","0.0011","0.0125","(102, 184)","(130, 198)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.200000","25","193","156","36","0.0011","0.006","(82, 197)","(62, 172)","./example/gridmap/arena2.map","Hidden"
"graph","a-star","Optimal","33.510000","29","413","170","242","0.0009","0.0117","(82, 99)","(56, 113)","./example/gridmap/arena2.map","Hidden"
